BuildingType,PropertyGFABuilding(s),YearBuilt,Longitude,NumberofBuildings,Neighborhood,NumberofFloors,PrimaryPropertyType,ComplianceStatus,SiteEnergyUse(kBtu),PropertyGFATotal,TotalGHGEmissions,Latitude,PropertyGFAParking,ListOfAllPropertyUseTypes,CouncilDistrictCode,OSEBuildingID,Age,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,Hospital,Hotel,K-12 School,Laboratory,Large Office,Low-Rise Multifamily,Medical Office,Mixed Use Property,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,University,Warehouse,Worship Facility,NonResidential,Nonresidential COS,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7
NonResidential,2.0443115438374826,1930,-122.33278999999999,0.9090909090909091,Downtown,1.1328599915937387,Other,1,10.971574975013885,1.822468866527338,6.352113422783691,47.60546,0.0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",CSC 7,22,19.975135217694806,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.047489405992751,1983,-122.33078,0.9090909090909091,Downtown,1.41772478002781,Hotel,1,11.487737940518997,1.8242063489745128,7.028154427146317,47.606809999999996,2.397531749206334,"Hotel, Parking",CSC 7,23,11.074624257111491,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.041846569220331,1907,-122.33158999999999,0.9090909090909091,Downtown,1.0841848388382287,Mixed Use Property,1,10.852773178827976,1.8212175313845054,5.847394175627782,47.60515,0.0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",CSC 7,24,23.02872805952191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.044326722936246,1916,-122.33193999999999,0.9090909090909091,Downtown,1.2515773256936356,Hotel,1,10.980208018841362,1.8224764277855328,6.115513113567007,47.60376,0.0,Hotel,CSC 7,25,21.8708707552081,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0483769855912355,1916,-122.33051,0.9090909090909091,Downtown,1.2515773256936356,Other,1,11.607508922942127,1.8244095341490514,7.531681132639698,47.60265,0.0,Courthouse,CSC 7,26,21.8708707552081,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.047786213118677,1985,-122.32842,0.9090909090909091,Downtown,1.3654350673780404,Other,1,11.63259995908825,1.8241402599065315,7.8600678903962455,47.60378,0.0,Other,CSC 3,27,10.645487385121234,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
NonResidential,2.0418924227889343,2001,-122.31755,0.9090909090909091,Northeast,1.1328599915937387,Hotel,1,10.52209024891675,1.8221709532117212,4.6521382590457225,47.65959,2.385856482952769,"Hotel, Parking",CSC 4,29,6.647444600690303,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
NonResidential,2.0449869243966496,1928,-122.33628999999999,0.9090909090909091,Downtown,1.171439663536796,University,1,11.028542108902895,1.82280337725968,6.230174761602181,47.618159999999996,0.0,College/University,CSC 7,30,20.25377347033129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0425707938033786,1930,-122.33081000000001,0.9090909090909091,Downtown,0.7978618320884237,Other,1,10.035181826035805,1.8215897262264225,2.24791892903809,47.615,0.0,Automobile Dealership,CSC 7,31,19.975135217694806,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.045032321104106,1991,-122.32928999999999,0.9090909090909091,East,1.2029285703519073,Hotel,1,10.693185224996952,1.823144238780527,5.779938161893262,47.613009999999996,2.3857251250541474,"Hotel, Parking, Retail Store, Swimming Pool",CSC 7,32,9.281308909520217,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
