PrimaryPropertyType,Latitude,NumberofFloors,ComplianceStatus,BuildingType,CouncilDistrictCode,OSEBuildingID,Neighborhood,PropertyGFAParking,TotalGHGEmissions,PropertyGFATotal,PropertyGFABuilding(s),SiteEnergyUse(kBtu),NumberofBuildings,Longitude,RecentUpgrade,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7,Age
Low-Rise Multifamily,47.61971,3.0,1,Multifamily LR (1-4),CSC 3,20452,Central,0,8.61,40779,40779,1234573.875,1.0,-122.30287,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,48
Low-Rise Multifamily,47.64425,3.0,1,Multifamily LR (1-4),CSC 7,20456,Magnolia / queen anne,0,7.62,38328,38328,1093724.375,1.0,-122.36125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,51
Mixed Use Property,47.721779999999995,1.0,1,NonResidential,CSC 5,20470,North,0,1.86,39350,39350,267135.0938,1.0,-122.29498000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,37
Mid-Rise Multifamily,47.72235,6.0,1,Multifamily MR (5-9),CSC 5,20472,North,0,178.46,193691,193691,6649938.0,1.0,-122.29583999999998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8
Other,47.72032,1.0,1,NonResidential,CSC 5,20474,North,0,134.57,22405,22405,3498214.75,0.0,-122.29507,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,67
Mid-Rise Multifamily,47.72082,7.0,1,Multifamily MR (5-9),CSC 5,20480,North,0,69.15,86283,86283,3739029.75,1.0,-122.29195,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,45
Mid-Rise Multifamily,47.71951,6.0,1,Multifamily MR (5-9),CSC 5,20484,North,0,17.68,57775,57775,2536760.75,1.0,-122.29477,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15
Mid-Rise Multifamily,47.72226,5.0,1,Multifamily MR (5-9),CSC 5,20490,North,93260,261.09,320739,227479,9162048.0,3.0,-122.29316000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15
Low-Rise Multifamily,47.720079999999996,3.0,1,Multifamily LR (1-4),CSC 5,20493,North,0,10.75,67624,67624,1541897.875,1.0,-122.29031,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,30
Other,47.72606,1.0,1,SPS-District K-12,CSC 5,20494,North,0,43.13,32590,32590,1361794.25,1.0,-122.28747,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
Low-Rise Multifamily,47.73279,4.0,1,Multifamily LR (1-4),CSC 5,20496,Northwest,0,12.61,73234,73234,1808401.375,1.0,-122.34851,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,38
Mid-Rise Multifamily,47.615429999999996,5.0,1,Multifamily MR (5-9),CSC 7,20497,Downtown,0,15.68,145018,145018,2249449.75,1.0,-122.35073999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,28
Warehouse,47.552,1.0,1,NonResidential,CSC 2,20500,Greater duwamish,0,13.16,37500,37500,1811506.375,1.0,-122.32262,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,31
